ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000116031	CD207	129.43797242498553	0.1496	0.001155765940993	0.8504	0.998844234059007
ENSG00000179639	FCER1A	35.29122466346906	0.6413999999999999	0.0181744897241815	0.35860000000000014	0.9818255102758185
ENSG00000132514	CLEC10A	32.90720128251643	0.659	0.0200260117638787	0.34099999999999997	0.9799739882361213
ENSG00000232629	HLA-DQB2	24.504658985318816	0.2781	0.0113488622782555	0.7219	0.9886511377217445
ENSG00000158481	CD1C	21.84812087952229	0.5607000000000001	0.0256635343191244	0.4392999999999999	0.9743364656808756
ENSG00000158488	CD1E	18.99843251390903	0.3632999999999998	0.0191226302345744	0.6367000000000003	0.9808773697654256
ENSG00000164485	IL22RA2	18.6692156699662	0.0525999999999999	0.0028174724064396	0.9474000000000001	0.9971825275935604
ENSG00000158477	CD1A	18.55558653081332	0.2296000000000001	0.0123736320389941	0.7703999999999999	0.9876263679610059
ENSG00000102962	CCL22	18.26972336753302	0.0892999999999999	0.0048878682070629	0.9107000000000001	0.9951121317929371
ENSG00000072694	FCGR2B	18.24003306939441	0.4161999999999998	0.0228179410868698	0.5838000000000002	0.9771820589131301
ENSG00000162723	SLAMF9	17.148935220169253	0.0585	0.0034112905115646	0.9415	0.9965887094884354
ENSG00000258227	CLEC5A	16.648214624498006	0.1933	0.0116108546387645	0.8067	0.9883891453612355
ENSG00000178789	CD300LB	16.475362749257656	0.1183	0.0071804185316241	0.8817	0.9928195814683759
ENSG00000102970	CCL17	16.04642257558202	0.0550999999999999	0.0034337871722165	0.9449000000000001	0.9965662128277835
ENSG00000187474	FPR3	15.905485142101472	0.2762	0.0173650786211421	0.7238	0.9826349213788579
ENSG00000111729	CLEC4A	15.122681392196192	0.4810000000000002	0.0318065287183933	0.5189999999999998	0.9681934712816067
ENSG00000115590	IL1R2	14.71443169996775	0.3845	0.0261308087080823	0.6154999999999999	0.9738691912919177
ENSG00000158714	SLAMF8	13.954915018437854	0.1950999999999999	0.0139807372343167	0.8049000000000001	0.9860192627656833
ENSG00000204020	LIPN	13.489007627118886	0.0372999999999999	0.0027652145384668	0.9627000000000001	0.9972347854615332
