ensembl_id	gene_symbol	prob_ratio	cell_type_prob	general_prob	minus_cell_type_prob	minus_general
ENSG00000173578	XCR1	175.35550866282014	0.4625000000000002	0.0026374991212241	0.5374999999999999	0.9973625008787759
ENSG00000197992	CLEC9A	104.92128489118495	0.8236	0.0078496941860192	0.1764	0.9921503058139808
ENSG00000188676	IDO2	50.00600382815899	0.1653000000000001	0.0033056030745435	0.8346999999999999	0.9966943969254565
ENSG00000131203	IDO1	48.123759058955095	0.7266999999999997	0.0151006491223958	0.2733000000000003	0.9848993508776042
ENSG00000109684	CLNK	38.14868491786972	0.5388	0.0141236847655425	0.46120000000000005	0.9858763152344575
ENSG00000158714	SLAMF8	31.80089808917205	0.4445999999999998	0.0139807372343167	0.5554000000000002	0.9860192627656833
ENSG00000276600	RAB7B	26.88817809682609	0.6310999999999999	0.0234712816066364	0.3689000000000001	0.9765287183933636
ENSG00000163687	DNASE1L3	26.70222799431862	0.7974	0.0298626766339371	0.2026	0.970137323366063
ENSG00000186265	BTLA	26.51372441310208	0.3348	0.0126274224919737	0.6652	0.9873725775080263
ENSG00000178175	ZNF366	25.204824043098693	0.2718999999999999	0.0107876174630327	0.7281000000000001	0.9892123825369673
ENSG00000255833	TIFAB	25.005589362181794	0.2080000000000001	0.0083181402760527	0.7919999999999999	0.9916818597239473
ENSG00000122025	FLT3	22.02450104177007	0.5202000000000002	0.0236191502823799	0.4797999999999998	0.9763808497176201
ENSG00000123685	BATF3	21.654293384135805	0.6445999999999998	0.0297677688468117	0.35540000000000016	0.9702322311531884
ENSG00000171956	FOXB1	21.005986230637205	0.0571999999999999	0.0027230332997445	0.9428000000000001	0.9972769667002555
ENSG00000108849	PPY	20.32861088871108	0.2261000000000001	0.0111222552902303	0.7738999999999999	0.9888777447097697
ENSG00000182853	VMO1	20.141566174833564	0.4663999999999999	0.0231560940172942	0.5336000000000001	0.9768439059827058
ENSG00000162723	SLAMF9	19.494088754551363	0.0664999999999999	0.0034112905115646	0.9335000000000001	0.9965887094884354
ENSG00000198178	CLEC4C	19.0270455451864	0.1117999999999999	0.005875846554027	0.8882000000000001	0.994124153445973
ENSG00000241106	HLA-DOB	18.942947710761988	0.5255000000000001	0.0277411946664166	0.4744999999999999	0.9722588053335834
ENSG00000026751	SLAMF7	18.78843962755704	0.5594000000000002	0.0297736273521898	0.44059999999999977	0.9702263726478102
ENSG00000128815	WDFY4	18.15773584084756	0.7824000000000001	0.0430890727157687	0.2175999999999999	0.9569109272842313
ENSG00000219607	PPP1R3G	16.93914895238105	0.1563	0.0092271459705199	0.8437	0.9907728540294801
ENSG00000140090	SLC24A4	16.152200297023345	0.2930999999999999	0.0181461345581514	0.7069000000000001	0.9818538654418486
ENSG00000141497	ZMYND15	15.940258405685745	0.1992	0.0124966606519344	0.8008	0.9875033393480656
ENSG00000167600	CYP2S1	15.763241759807077	0.3890000000000001	0.0246776650340964	0.6109999999999999	0.9753223349659036
ENSG00000174944	P2RY14	15.260681307061668	0.4532	0.0296972324420593	0.5468	0.9703027675579406
ENSG00000142512	SIGLEC10	15.244426905616738	0.3611999999999999	0.0236939048110045	0.6388	0.9763060951889955
ENSG00000100079	LGALS2	14.906683556114492	0.8611	0.0577660347292198	0.13890000000000002	0.9422339652707802
ENSG00000232629	HLA-DQB2	14.68869706167798	0.1667	0.0113488622782555	0.8333	0.9886511377217445
ENSG00000100373	UPK3A	14.622430929314731	0.1910000000000001	0.0130621235910294	0.8089999999999999	0.9869378764089706
ENSG00000171631	P2RY6	14.489211135816234	0.2932	0.020235746256415	0.7068	0.979764253743585
ENSG00000155367	PPM1J	14.46615075326377	0.2698	0.0186504347010989	0.7302	0.981349565298901
ENSG00000153898	MCOLN2	14.173835368470352	0.4256999999999999	0.030034213671408	0.5743	0.969965786328592
ENSG00000167711	SERPINF2	13.48229607303699	0.3606	0.0267461861129987	0.6394	0.9732538138870013
ENSG00000197629	MPEG1	13.48191717227219	0.6785000000000001	0.0503266702598832	0.3214999999999999	0.9496733297401168
ENSG00000172243	CLEC7A	13.465171958165064	0.7617999999999999	0.0565755864363883	0.23820000000000008	0.9434244135636117
ENSG00000198754	OXCT2	13.147140494545146	0.1155	0.0087851803247954	0.8845	0.9912148196752046
ENSG00000150637	CD226	12.792861986528647	0.3298	0.0257800014060412	0.6702	0.9742199985939588
ENSG00000135077	HAVCR2	12.700033607040174	0.6013000000000003	0.0473463314039321	0.3986999999999997	0.9526536685960679
ENSG00000161905	ALOX15	12.62000060851317	0.0971999999999999	0.0077020598504908	0.9028	0.9922979401495092
ENSG00000155962	CLIC2	12.40758896528116	0.5095999999999998	0.0410716378037634	0.49040000000000017	0.9589283621962366
ENSG00000138755	CXCL9	12.347761361173427	0.0801	0.0064870058350713	0.9198999999999999	0.9935129941649287
ENSG00000263961	RHEX	12.2228189074973	0.2196	0.0179663956131511	0.7804	0.982033604386849
ENSG00000130649	CYP2E1	11.830741129099962	0.1322	0.0111742788179879	0.8678	0.9888257211820121
ENSG00000161243	FBXO27	11.824611812871368	0.222	0.0187744006748997	0.778	0.9812255993251003
ENSG00000184730	APOBR	11.823226516512474	0.3901999999999999	0.0330028355166029	0.6098000000000001	0.9669971644833971
ENSG00000102445	RUBCNL	11.740921837333495	0.5467000000000002	0.0465636350854169	0.4532999999999998	0.9534363649145831
ENSG00000174500	GCSAM	11.528943430929086	0.3261	0.0282853326459353	0.6738999999999999	0.9717146673540646
ENSG00000180758	GPR157	11.473514532869514	0.3763999999999999	0.0328059897358985	0.6236000000000002	0.9671940102641015
ENSG00000180549	FUT7	11.468616890806102	0.1270999999999999	0.0110824174536591	0.8729000000000001	0.9889175825463409
ENSG00000160307	S100B	11.402840747186849	0.6433	0.0564157664096735	0.3567	0.9435842335903265
ENSG00000204252	HLA-DOA	11.39004920501628	0.3845999999999998	0.0337663159374779	0.6154000000000002	0.9662336840625221
ENSG00000116990	MYCL	11.269493484161387	0.3132999999999999	0.0278007170810582	0.6867000000000001	0.9721992829189418
